x,y,extruding
2.0,10.0,0
98.506,129.419,1
106.261,88.129,1
87.894,108.084,1
92.939,117.25,1
102.95,92.856,1
92.252,116.541,1
104.111,92.026,1
91.595,115.782,1
105.347,91.278,1
90.95,114.98,1
105.251,90.891,1
111.402,113.701,1
112.584,107.532,1
108.274,107.295,1
106.805,109.728,1
108.841,112.559,1
128.254,97.505,1
114.494,91.75,1
106.777,92.038,1
128.254,120.985,1
97.819,96.42,1
94.714,99.718,1
125.917,128.253,1
93.661,101.867,1
112.039,128.249,1
93.029,116.709,1
93.733,94.36,1
92.991,124.829,1
131.247,88.202,1
99.034,124.939,1
94.181,100.346,1
97.708,124.409,1
94.333,99.358,1
96.4,123.76,1
94.544,98.363,1
95.433,123.375,1
94.799,97.351,1
112.395,106.84,1
106.842,108.363,1
106.962,111.851,1
109.791,113.144,1
112.42,111.249,1
122.741,128.225,1
114.059,128.222,1
128.226,105.37,1
113.969,111.522,1
96.966,122.734,1
113.653,107.784,1
107.989,106.229,1
115.765,91.777,1
91.953,107.484,1
127.818,127.739,1
92.07,114.687,1
106.855,91.737,1
91.465,113.893,1
106.786,91.336,1
90.896,113.054,1
108.118,90.746,1
90.296,111.682,1
109.519,90.231,1
108.228,113.545,1
112.65,112.372,1
112.468,108.042,1
109.374,107.348,1
126.214,91.774,1
128.226,102.471,1
128.226,111.156,1
102.012,93.627,1
98.483,95.887,1
113.963,109.051,1
110.959,114.153,1
93.251,102.814,1
110.553,128.221,1
100.095,125.29,1
96.349,122.534,1
95.755,98.146,1
95.442,122.115,1
96.049,97.191,1
94.544,121.637,1
96.4,96.24,1
93.641,121.111,1
97.166,94.955,1
113.94,109.58,1
109.587,106.467,1
107.002,109.02,1
106.955,110.815,1
109.051,112.554,1
120.426,128.224,1
111.744,128.222,1
128.226,103.054,1
99.81,125.102,1
96.407,122.136,1
128.226,92.633,1
107.271,106.711,1
115.186,91.777,1
106.063,92.216,1
127.76,127.84,1
91.535,111.578,1
128.532,91.468,1
91.073,110.692,1
128.939,91.061,1
90.654,109.764,1
129.346,129.306,1
90.261,108.797,1
106.216,108.887,0
108.477,113.659,1
113.442,110.903,1
112.468,108.042,1
110.116,107.279,1
128.226,94.365,1
116.953,91.777,1
108.345,91.853,1
128.226,120.42,1
108.59,105.995,1
128.226,123.894,1
124.452,128.225,1
93.084,103.226,1
91.784,110.611,1
95.439,120.963,1
94.669,120.413,1
97.973,95.901,1
93.833,119.866,1
98.793,94.733,1
93.014,119.262,1
99.724,93.608,1
92.198,118.611,1
100.322,92.755,1
113.942,110.399,1
110.323,106.458,1
106.992,109.11,1
106.924,110.636,1
109.192,112.586,1
114.111,108.834,1
99.567,124.945,1
99.034,124.939,1
94.181,100.346,1
98.793,125.267,1
94.333,99.358,1
97.444,124.718,1
94.544,98.363,1
96.101,124.067,1
94.799,97.351,1
111.891,106.518,1
106.201,108.928,1
107.985,112.927,1
111.073,112.963,1
112.612,110.768,1
92.716,104.23,1
113.685,112.16,1
109.557,128.526,1
91.633,107.525,1
108.157,128.849,1
91.375,106.56,1
106.717,129.066,1
90.975,106.486,1
105.231,129.191,1
90.751,105.466,1
108.577,106.309,1
106.075,110.556,1
109.798,113.551,1
113.05,110.786,1
112.087,108.25,1
122.479,128.225,1
105.911,108.759,1
128.532,128.532,0
91.48,109.324,1
109.545,128.933,1
91.132,108.362,1
108.118,129.254,1
90.896,106.947,1
106.644,129.488,1
90.646,105.936,1
106.468,108.196,1
106.603,112.047,1
112.106,112.866,1
112.759,108.479,1
109.729,107.291,1
106.907,127.962,1
128.226,112.874,1
96.574,97.673,1
92.611,116.409,1
102.96,92.858,1
91.931,115.677,1
104.103,92.003,1
91.282,114.893,1
105.334,91.225,1
90.647,114.064,1
106.644,90.512,1
110.907,113.857,1
113.099,108.255,1
110.079,106.852,1
107.948,108.207,1
107.382,109.312,1
107.046,113.089,1
91.785,110.666,1
92.611,116.409,1
102.951,92.861,1
91.931,115.677,1
104.103,92.003,1
91.543,115.799,1
103.976,91.615,1
91.134,115.927,1
103.843,91.208,1
112.584,113.004,1
112.807,107.817,1
109.01,107.009,1
107.379,109.274,1
107.411,110.851,1
128.226,105.198,1
105.747,109.585,1
93.729,118.872,1
101.356,93.608,1
92.953,118.252,1
101.96,92.852,1
92.03,117.168,1
101.787,92.483,1
91.633,117.329,1
100.782,92.505,1
113.555,111.756,1
111.536,106.79,1
108.432,107.266,1
106.956,109.184,1
107.641,111.365,1
99.567,124.945,1
116.709,91.777,1
94.669,120.413,1
97.973,95.901,1
93.833,119.866,1
98.793,94.733,1
93.014,119.262,1
99.724,93.608,1
92.638,119.468,1
99.494,93.246,1
113.902,109.309,1
109.345,106.507,1
106.98,109.097,1
106.867,110.359,1
107.973,111.821,1
118.642,91.776,1
106.793,112.826,1
96.349,122.534,1
95.755,98.146,1
95.442,122.115,1
96.049,97.191,1
95.749,123.085,1
95.749,96.915,1
95.433,123.375,1
95.433,96.625,1
113.133,107.575,1
108.71,106.694,1
106.522,109.251,1
107.683,112.136,1
110.895,112.573,1
104.546,92.426,1
108.804,114.102,1
102.96,127.142,1
92.927,102.794,1
101.545,126.947,1
92.551,102.638,1
101.364,127.312,1
92.175,102.481,1
101.172,127.695,1
91.283,103.616,1
108.847,106.215,1
106.045,109.737,1
107.749,112.754,1
112.013,112.424,1
112.7,110.356,1
112.87,128.222,1
114.102,111.196,1
99.052,95.214,1
91.469,109.774,1
128.939,128.939,1
91.095,108.848,1
109.532,129.341,1
90.769,107.884,1
108.076,129.681,1
90.472,106.883,1
106.937,107.484,1
106.41,111.692,1
110.288,113.545,1
112.327,112.124,1
112.615,109.239,1
91.802,109.008,1
97.113,122.887,1
108.197,128.443,1
91.701,107.071,1
106.786,128.664,1
91.465,106.107,1
108.118,129.254,1
91.066,106.024,1
108.076,129.681,1
90.646,105.936,1
106.485,108.168,1
107.111,112.712,1
111.244,113.332,1
112.881,111.28,1
112.309,108.555,1
91.785,109.336,1
128.226,120.55,1
108.007,106.22,1
91.535,111.578,1
108.197,91.557,1
91.129,111.612,1
108.157,91.151,1
90.723,111.647,1
108.118,90.746,1
90.401,112.641,1
108.076,90.319,1
110.623,113.914,1
113.553,110.14,1
110.954,106.997,1
108.653,107.633,1
107.35,109.364,1
109.676,105.739,1
106.907,127.962,1
95.195,121.147,1
97.973,95.901,1
95.442,122.115,1
96.685,96.531,1
95.749,123.085,1
95.749,96.915,1
96.101,124.067,1
94.799,97.351,1
111.694,106.415,1
106.646,108.813,1
106.696,111.3,1
111.074,112.962,1
112.625,110.725,1
116.709,128.223,1
113.783,111.988,1
108.197,128.443,1
91.863,106.191,1
108.157,128.849,1
91.298,107.009,1
108.118,129.254,1
90.896,106.947,1
108.076,129.681,1
90.472,106.882,1
106.495,108.149,1
106.323,111.464,1
110.532,113.517,1
113.147,110.154,1
111.241,107.575,1
91.974,112.674,1
106.168,108.107,1
118.642,128.224,1
91.863,113.809,1
106.855,91.737,1
91.465,113.893,1
106.786,91.336,1
91.066,113.976,1
105.334,91.225,1
90.646,114.064,1
105.231,90.809,1
110.892,113.861,1
113.391,108.929,1
110.954,106.997,1
107.947,108.208,1
107.357,109.397,1
109.566,91.779,1
105.741,110.347,1
94.181,119.654,1
99.034,95.061,1
93.833,119.866,1
98.793,94.733,1
93.485,120.078,1
98.552,94.404,1
93.12,120.302,1
98.298,94.059,1
113.468,108.091,1
108.417,106.815,1
106.452,109.738,1
107.683,112.136,1
110.716,112.628,1
128.409,95.429,1
108.151,113.852,1
102.96,127.142,1
92.458,104.024,1
104.103,127.997,1
92.073,103.89,1
103.976,128.385,1
91.688,103.757,1
103.843,128.792,1
91.283,103.616,1
108.209,106.464,1
106.184,111.071,1
109.553,113.529,1
112.468,111.958,1
112.716,109.793,1
91.974,107.326,1
114.111,111.167,1
99.046,95.208,1
91.48,109.323,1
128.532,128.492,1
91.073,109.308,1
128.939,128.899,1
90.654,110.236,1
129.346,129.306,1
90.226,110.241,1
129.774,129.735,1
107.787,113.285,1
112.807,112.183,1
112.648,108.293,1
110.309,107.293,1
92.716,115.77,1
107.224,106.75,1
128.226,110.964,1
93.317,118.07,1
101.399,93.585,1
92.95,118.247,1
101.212,93.224,1
92.583,118.424,1
101.024,92.862,1
92.198,118.611,1
100.827,92.482,1
113.85,110.938,1
111.045,106.6,1
107.133,108.69,1
106.981,110.906,1
109.264,112.622,1
122.479,91.775,1
107.41,113.4,1
96.969,123.177,1
95.755,98.146,1
96.685,123.469,1
94.869,98.608,1
96.4,123.76,1
94.544,98.363,1
96.101,124.067,1
94.201,98.106,1
111.136,106.203,1
106.678,108.735,1
106.571,110.948,1
109.574,113.122,1
111.988,111.862,1
92.702,104.27,1
107.691,113.597,1
104.23,127.61,1
92.319,104.445,1
104.103,127.997,1
91.931,104.323,1
103.976,128.385,1
91.542,104.201,1
105.231,129.191,1
91.134,104.073,1
106.771,107.701,1
106.63,112.086,1
112.106,112.866,1
113.138,109.72,1
110.859,107.415,1
108.996,128.186,1
104.229,92.715,1
96.574,97.673,1
92.319,115.555,1
102.951,92.861,1
91.931,115.677,1
102.799,92.483,1
91.542,115.799,1
102.647,92.106,1
91.134,115.927,1
102.486,91.708,1
113.574,111.71,1
112.478,107.454,1
108.624,107.165,1
107.4,109.185,1
107.292,110.3,1
113.015,106.985,1
128.226,99.45,1
96.349,122.534,1
95.755,98.146,1
96.685,123.469,1
95.442,97.885,1
96.4,123.76,1
95.129,97.625,1
96.101,124.067,1
94.799,97.351,1
112.568,106.982,1
108.694,106.699,1
106.526,109.326,1
107.593,112.026,1
110.121,112.722,1
128.409,93.868,1
110.2,114.269,1
100.929,126.161,1
93.729,101.128,1
100.73,126.516,1
93.372,100.933,1
100.531,126.871,1
92.583,101.576,1
100.321,127.245,1
92.198,101.389,1
109.511,106.067,1
106.074,110.563,1
109.798,113.551,1
113.145,110.229,1
112.403,108.717,1
108.996,91.814,1
95.99,121.659,1
109.557,128.526,1
91.579,107.973,1
109.545,128.933,1
91.174,107.929,1
109.532,129.341,1
90.769,107.884,1
109.519,129.769,1
90.343,107.837,1
106.115,109.298,0
107.793,113.296,1
112.65,112.372,1
113.013,109.08,1
110.859,107.415,1
108.996,128.186,1
104.227,92.713,1
106.991,106.991,1
92.319,115.555,1
102.951,92.861,1
92.229,116.55,1
101.96,92.852,1
92.194,117.566,1
101.048,92.85,1
92.198,118.611,1
100.322,92.755,1
113.85,110.938,1
111.044,106.6,1
107.292,108.387,1
106.859,110.137,1
108.842,112.466,1
113.139,107.102,1
101.542,126.134,1
97.979,124.105,1
94.669,99.587,1
98.425,124.991,1
93.833,100.134,1
99.323,126.134,1
93.014,100.738,1
99.903,127.003,1
92.198,101.389,1
108.541,106.321,1
106.112,109.298,1
107.582,112.609,1
110.155,113.15,1
112.328,111.413,1
92.716,104.23,1
113.636,112.244,1
109.557,128.526,1
91.651,107.41,1
109.545,128.933,1
91.248,107.352,1
109.532,129.341,1
90.845,107.293,1
109.519,129.769,1
90.296,108.317,1
106.191,108.898,1
106.917,112.495,1
110.774,113.471,1
113.128,110.371,1
112.203,108.399,1
122.479,128.225,1
105.772,109.379,1
92.414,104.558,1
91.469,110.226,1
128.532,128.492,1
91.062,110.231,1
128.939,128.899,1
90.654,110.236,1
129.346,129.306,1
90.226,110.241,1
129.774,129.735,1
108.256,113.549,1
112.65,112.372,1
113.036,109.151,1
110.859,107.415,1
108.996,128.186,1
104.229,92.715,1
107.461,106.562,1
92.07,114.687,1
105.531,92.016,1
91.931,115.677,1
103.23,92.312,1
91.847,116.691,1
102.529,92.155,1
91.799,117.734,1
101.606,92.095,1
112.973,112.62,1
112.829,107.845,1
110.33,106.865,1
107.948,108.208,1
107.312,109.551,1
109.878,105.73,1
107.333,128.019,1
93.729,118.872,1
100.154,94.301,1
92.95,118.247,1
101.135,93.264,1
92.194,117.566,1
102.22,92.287,1
91.799,117.734,1
102.935,91.53,1
112.37,113.176,1
113.211,108.472,1
109.826,106.854,1
107.948,108.208,1
107.288,109.725,1
109.566,91.779,1
105.753,109.591,1
93.729,118.872,1
100.934,93.837,1
93.372,119.067,1
100.733,93.482,1
93.014,119.262,1
100.533,93.128,1
92.638,119.468,1
100.322,92.755,1
113.776,111.202,1
111.045,106.6,1
108.624,107.165,1
106.902,109.462,1
107.497,111.064,1
128.226,91.774,1
104.229,127.285,1
95.755,121.854,1
96.969,96.823,1
94.869,121.392,1
96.685,96.531,1
93.996,120.87,1
97.444,95.282,1
93.12,120.302,1
98.298,94.059,1
113.776,111.202,1
111.722,106.888,1
109.109,106.986,1
107.329,109.522,1
107.539,111.172,1
128.226,105.198,1
106.133,111.82,1
94.669,120.413,1
97.973,95.901,1
94.333,120.642,1
97.708,95.591,1
93.996,120.87,1
97.444,95.282,1
94.201,121.894,1
97.166,94.955,1
113.769,108.778,1
109.302,106.511,1
106.909,109.446,1
106.955,110.815,1
109.051,112.554,1
113.312,107.3,1
101.079,125.894,1
99.034,124.939,1
94.669,99.587,1
98.793,125.267,1
94.333,99.358,1
98.552,125.596,1
93.996,99.13,1
98.298,125.941,1
93.641,98.889,1
111.135,106.203,1
106.858,108.331,1
106.572,110.953,1
109.574,113.122,1
111.562,112.231,1
93.225,102.872,1
113.018,113.018,1
104.23,127.61,1
92.611,103.591,1
104.103,127.997,1
91.931,104.323,1
103.976,128.385,1
91.542,104.201,1
103.843,128.792,1
91.134,104.073,1
108.209,106.464,1
106.046,110.284,1
108.17,113.051,1
111.276,112.881,1
112.7,110.356,1
91.935,107.577,1
97.113,122.887,1
108.197,128.443,1
91.7,107.072,1
108.157,128.849,1
91.298,107.01,1
108.118,129.254,1
90.895,106.947,1
109.519,129.769,1
90.472,106.882,1
106.184,108.929,1
106.607,112.033,1
111.011,113.41,1
112.985,111.007,1
112.203,108.398,1
91.785,109.339,1
101.536,93.86,1
109.008,105.843,1
91.502,111.128,1
109.557,91.474,1
91.095,111.152,1
109.545,91.067,1
90.689,111.177,1
109.532,90.659,1
90.261,111.203,1
109.519,90.231,1
108.733,113.755,1
113.081,111.776,1
112.524,108.115,1
110.347,107.298,1
92.716,115.77,1
106.291,107.876,1
114.805,128.223,1
92.319,115.555,1
102.951,92.861,1
92.229,116.55,1
102.799,92.483,1
91.847,116.691,1
102.647,92.106,1
91.445,116.839,1
102.486,91.708,1
112.574,113.014,1
113.211,108.472,1
109.856,106.851,1
107.433,109.089,1
107.277,110.113,1
128.226,109.036,1
105.844,110.997,1
94.669,120.413,1
99.034,95.061,1
94.333,120.642,1
98.793,94.733,1
93.996,120.87,1
97.444,95.282,1
93.641,121.111,1
97.166,94.955,1
113.94,109.58,1
109.829,106.445,1
107.599,107.958,1
106.853,110.172,1
108.103,111.956,1
128.226,91.774,1
128.226,103.288,1
95.755,121.854,1
96.349,97.466,1
95.442,122.115,1
96.049,97.191,1
95.129,122.375,1
95.749,96.915,1
94.799,122.649,1
95.433,96.625,1
113.133,107.575,1
108.927,106.618,1
106.895,109.504,1
106.955,110.815,1
109.051,112.554,1
128.226,97.522,1
109.306,114.217,1
98.675,124.669,1
94.181,100.346,1
99.547,125.794,1
93.372,100.933,1
100.119,126.633,1
92.583,101.576,1
101.172,127.695,1
91.799,102.266,1
108.209,106.464,1
106.046,109.687,1
108.17,113.051,1
111.841,112.557,1
112.7,110.356,1
91.855,108.283,1
106.983,113.017,1
108.197,128.443,1
91.633,107.53,1
109.545,128.933,1
91.129,108.388,1
129.346,129.346,1
90.654,110.236,1
129.346,129.306,1
90.261,111.203,1
129.774,90.225,1
108.256,113.549,1
112.65,112.372,1
112.763,108.485,1
110.859,107.415,1
108.227,128.139,1
128.226,116.712,1
97.113,97.113,1
92.319,115.555,1
104.23,92.39,1
91.931,115.677,1
104.103,92.003,1
91.542,115.799,1
103.976,91.615,1
91.134,115.927,1
102.486,91.708,1
111.666,113.595,1
113.099,108.255,1
109.878,106.85,1
107.461,109.037,1
107.277,110.113,1
108.498,114.001,1
91.882,111.993,1
93.729,118.872,1
100.933,93.837,1
93.372,119.067,1
99.943,93.952,1
93.014,119.262,1
99.724,93.608,1
92.638,119.468,1
99.494,93.246,1
113.776,111.202,1
111.045,106.6,1
108.624,107.165,1
106.877,109.589,1
107.742,111.525,1
118.642,91.776,1
107.047,113.089,1
96.349,122.534,1
95.755,98.146,1
96.049,122.809,1
95.442,97.885,1
95.749,123.085,1
95.129,97.625,1
96.101,124.067,1
94.799,97.351,1
111.892,106.518,1
107.268,107.721,1
106.572,110.953,1
109.574,113.122,1
112.038,111.805,1
92.702,104.27,1
107.72,113.615,1
105.531,127.985,1
92.319,104.445,1
105.433,128.38,1
91.931,104.323,1
105.334,128.775,1
91.542,104.201,1
105.231,129.191,1
91.134,104.073,1
106.937,107.484,1
106.411,111.687,1
109.553,113.529,1
112.714,111.599,1
112.661,109.421,1
91.857,108.265,1
128.226,124.388,1
109.603,105.765,1
91.502,111.128,1
128.532,91.468,1
91.174,112.071,1
128.939,91.061,1
90.769,112.116,1
129.346,90.654,1
90.343,112.163,1
129.774,90.225,1
108.256,113.549,1
112.65,112.372,1
112.524,108.115,1
109.878,107.279,1
92.365,114.61,1
105.962,108.604,1
128.226,118.64,1
92.07,114.687,1
105.522,92.017,1
91.676,114.79,1
105.426,91.622,1
91.282,114.893,1
104.424,91.474,1
90.867,115.002,1
104.302,91.064,1
110.892,113.861,1
113.544,109.685,1
112.082,107.636,1
109.374,107.348,1
106.907,127.962,1
128.226,112.874,1
96.574,97.673,1
92.319,115.555,1
102.951,92.861,1
91.931,115.677,1
102.799,92.483,1
91.543,115.799,1
102.647,92.106,1
91.134,115.927,1
102.486,91.708,1
112.973,112.62,1
112.325,107.309,1
108.624,107.165,1
107.4,109.185,1
107.359,110.67,1
109.855,105.731,1
106.907,127.962,1
94.181,119.654,1
99.034,95.061,1
94.333,120.642,1
98.793,94.733,1
93.996,120.87,1
98.552,94.404,1
93.641,121.111,1
98.298,94.059,1
113.844,109.041,1
109.814,106.446,1
106.98,109.097,1
106.955,110.815,1
108.546,112.304,1
128.226,97.522,1
108.498,114.001,1
97.979,124.105,1
95.195,98.853,1
97.713,124.413,1
94.869,98.608,1
97.447,124.721,1
93.996,99.13,1
97.167,125.046,1
93.641,98.889,1
110.352,106.051,1
106.474,109.507,1
107.222,112.225,1
111.276,112.881,1
112.569,110.904,1
92.162,106.254,1
106.983,113.017,1
106.855,128.263,1
91.863,106.191,1
106.786,128.664,1
91.465,106.107,1
106.717,129.066,1
91.066,106.024,1
106.644,129.488,1
90.646,105.936,1
106.184,108.929,1
106.607,112.033,1
111.471,113.238,1
113.069,109.29,1
110.859,107.415,1
91.805,110.995,1
103.066,93.144,1
108.196,106.126,1
91.863,113.809,1
105.531,92.015,1
91.676,114.79,1
104.097,92.004,1
91.543,115.799,1
103.087,91.931,1
91.445,116.839,1
102.276,91.797,1
112.973,112.62,1
112.829,107.845,1
109.236,106.943,1
107.641,108.635,1
107.276,110.101,1
109.008,105.843,1
107.333,128.019,1
94.181,119.654,1
99.034,95.061,1
94.333,120.642,1
97.708,95.591,1
95.129,122.375,1
96.4,96.24,1
95.433,123.375,1
95.433,96.625,1
112.568,106.982,1
107.795,107.208,1
106.441,110.053,1
107.411,111.797,1
110.715,112.629,1
120.732,128.407,1
110.402,114.24,1
101.719,126.579,1
93.317,101.93,1
101.54,126.944,1
92.95,101.753,1
101.36,127.31,1
92.583,101.576,1
101.171,127.695,1
91.799,102.266,1
108.847,106.215,1
106.056,109.77,1
107.659,112.678,1
111.276,112.881,1
112.569,110.904,1
92.164,106.243,1
106.987,113.013,1
108.197,128.443,1
91.699,107.079,1
106.786,128.664,1
91.465,106.107,1
105.334,128.775,1
91.282,105.107,1
103.843,128.792,1
91.134,104.073,1
107.757,106.733,1
106.189,111.091,1
110.774,113.471,1
113.128,110.371,1
111.827,107.98,1
91.807,108.891,1
101.542,93.866,1
